Message,Label,Note
Kẹt cả nhà,Critical,
Không liên lạc được,Medium,
Ngập sâu cứu hộ,Critical,
Điện cắt rồi,Medium,
Ngập tới gối rồi,Medium,
Điện cắt rồi,Medium,
Không liên lạc được,Medium,
Nước lên nhanh,High,
Điện cắt rồi,Medium,
Không liên lạc được,Medium,
Cứu với lũ lớn,High,
Cứu với lũ lớn,High,
Cứu với lũ lớn,High,
Ngập tới gối rồi,Medium,
Kẹt lũ cứu gấp,Critical,
Ngập sâu cứu hộ,Critical,
Nước lên nhanh,High,
Ngập tới gối rồi,Medium,
Điện cắt rồi,Medium,
Lũ mạnh quá,High,
Ngập sâu cứu hộ,Critical,
Kẹt cả nhà,Critical,
Kẹt trong nhà,Critical,
Nguy hiểm quá,Critical,
Có người già kẹt,Critical,
Lũ mạnh quá,High,
Có người già kẹt,Critical,
Ngập sâu cứu hộ,Critical,
Nước vào nhà,Medium,
Nước vào nhà,Medium,
Ngập tới gối rồi,Medium,
Nhà chìm nước,Critical,
Ngập sâu cứu hộ,Critical,
Ngập sâu cứu hộ,Critical,
Nhà ngập rồi cứu,High,
Kẹt lũ cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Nhà chìm nước,Critical,
Không thoát được,Critical,
Có người già kẹt,Critical,
Kẹt trong nhà,Critical,
Kẹt cả nhà,Critical,
Không liên lạc được,Medium,
Nguy hiểm quá,Critical,
Điện cắt rồi,Medium,
Nhà ngập rồi cứu,High,
Nước vào nhà,Medium,
Ngập sâu cứu hộ,Critical,
Cứu với lũ lớn,High,
Có người già kẹt,Critical,
Cứu với lũ lớn,High,
Nhà ngập rồi cứu,High,
Cứu với lũ lớn,High,
Cứu với lũ lớn,High,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Nhà ngập rồi cứu,High,
Có người già kẹt,Critical,
Nước vào nhà,Medium,
Lũ bao vây rồi,High,
Ngập sâu cứu hộ,Critical,
Nước dâng nhanh quá,High,
Nước vào nhà,Medium,
Nguy hiểm quá,Critical,
Kẹt lũ cứu gấp,Critical,
Có người già kẹt,Critical,
Kẹt cả nhà,Critical,
Ngập sâu cứu hộ,Critical,
Kẹt lũ cứu gấp,Critical,
Nhà chìm nước,Critical,
Nguy hiểm quá,Critical,
Nguy hiểm quá,Critical,
Kẹt trong nhà,Critical,
Nhà ngập rồi cứu,High,
Nguy hiểm quá,Critical,
Có người già kẹt,Critical,
Nhà ngập rồi cứu,High,
Có trẻ nhỏ cứu,High,
Kẹt cả nhà,Critical,
Có trẻ nhỏ cứu,High,
Kẹt cả nhà,Critical,
Cứu với lũ lớn,High,
Kẹt trong nhà,Critical,
Nước lên nhanh,High,
Có trẻ nhỏ cứu,High,
Nhà ngập rồi cứu,High,
Kẹt lũ cứu gấp,Critical,
Điện cắt rồi,Medium,
Cứu với lũ lớn,High,
Có trẻ nhỏ cứu,High,
Kẹt cả nhà,Critical,
Ngập tới gối rồi,Medium,
Nước lên nhanh,High,
Điện cắt rồi,Medium,
Có trẻ nhỏ cứu,High,
Kẹt lũ cứu gấp,Critical,
Kẹt trong nhà,Critical,
Điện cắt rồi,Medium,
Ngập tới gối rồi,Medium,
Nước dâng nhanh quá,High,
Cứu với lũ lớn,High,
Ngập sâu cứu hộ,Critical,
Kẹt lũ cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Ngập tới gối rồi,Medium,
Lũ bao vây rồi,High,
Điện cắt rồi,Medium,
Không thoát được,Critical,
Kẹt trong nhà,Critical,
Nước vào nhà,Medium,
Kẹt trong nhà,Critical,
Nguy hiểm quá,Critical,
Lũ mạnh quá,High,
Nhà chìm nước,Critical,
Nhà chìm nước,Critical,
Nước dâng nhanh quá,High,
Không liên lạc được,Medium,
Nước lên nhanh,High,
Kẹt lũ cứu gấp,Critical,
Nhà ngập rồi cứu,High,
Điện cắt rồi,Medium,
Lũ bao vây rồi,High,
Cứu với lũ lớn,High,
Xin cứu gấp,Critical,
Ngập tới gối rồi,Medium,
Ngập sâu cứu hộ,Critical,
Nước lên nhanh,High,
Nhà chìm nước,Critical,
Nhà chìm nước,Critical,
Không thoát được,Critical,
Không liên lạc được,Medium,
Ngập tới gối rồi,Medium,
Lũ bao vây rồi,High,
Lũ bao vây rồi,High,
Kẹt trong nhà,Critical,
Nước vào nhà,Medium,
Nhà chìm nước,Critical,
Nước vào nhà,Medium,
Nguy hiểm quá,Critical,
Có trẻ nhỏ cứu,High,
Lũ mạnh quá,High,
Cứu với lũ lớn,High,
Kẹt cả nhà,Critical,
Ngập sâu cứu hộ,Critical,
Kẹt cả nhà,Critical,
Nhà chìm nước,Critical,
Có trẻ nhỏ cứu,High,
Nước lên nhanh,High,
Lũ bao vây rồi,High,
Lũ mạnh quá,High,
Điện cắt rồi,Medium,
Nguy hiểm quá,Low,
Có trẻ nhỏ cứu,High,
Có người già kẹt,Critical,
Ngập tới gối rồi,Medium,
Nhà chìm nước,Critical,
Có người già kẹt,Critical,
Có trẻ nhỏ cứu,High,
Không thoát được,Critical,
Có trẻ nhỏ cứu,High,
Không liên lạc được,Medium,
Không liên lạc được,Medium,
Ngập sâu cứu hộ,Critical,
Nhà chìm nước,Critical,
Nước lên nhanh,High,
Nhà ngập rồi cứu,High,
Nhà ngập rồi cứu,High,
Nhà ngập rồi cứu,High,
Nguy hiểm quá,Critical,
Xin cứu gấp,Critical,
Lũ mạnh quá,High,
Không liên lạc được,Medium,
Điện cắt rồi,Medium,
Nước vào nhà,Medium,
Điện cắt rồi,Medium,
Kẹt cả nhà,Critical,
Điện cắt rồi,Medium,
Xin cứu gấp,Critical,
Nước lên nhanh,High,
Nhà chìm nước,Critical,
Không liên lạc được,Medium,
Không liên lạc được,Medium,
Có trẻ nhỏ cứu,High,
Nước dâng nhanh quá,High,
Nước lên nhanh,High,
Có người già kẹt,Critical,
Cứu với lũ lớn,High,
Nước dâng nhanh quá,High,
Có trẻ nhỏ cứu,High,
Nhà ngập rồi cứu,High,
Ngập tới gối rồi,Medium,
Điện cắt rồi,Medium,
Nhà chìm nước,Critical,
Nhà ngập rồi cứu,High,
Cứu với lũ lớn,High,
Xin cứu gấp,Critical,
Có người già kẹt,Critical,
Không liên lạc được,Medium,
Nguy hiểm quá,Critical,
Có trẻ nhỏ cứu,High,
Nguy hiểm quá,Critical,
Có trẻ nhỏ cứu,High,
Có trẻ nhỏ cứu,High,
Nước lên nhanh,High,
Lũ bao vây rồi,High,
Không thoát được,Critical,
Kẹt lũ cứu gấp,Critical,
Cứu với lũ lớn,High,
Kẹt trong nhà,Critical,
Kẹt trong nhà,Critical,
Ngập tới gối rồi,Medium,
Nước dâng nhanh quá,High,
Xin cứu gấp,Critical,
Không thoát được,Critical,
Lũ bao vây rồi,High,
Không liên lạc được,Medium,
Điện cắt rồi,Medium,
Nhà ngập rồi cứu,High,
Kẹt lũ cứu gấp,Critical,
Lũ bao vây rồi,High,
Nước dâng nhanh quá,High,
Nước lên nhanh,High,
Xin cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Kẹt trong nhà,Critical,
Lũ mạnh quá,High,
Kẹt lũ cứu gấp,Critical,
Xin cứu gấp,Critical,
Xin cứu gấp,Critical,
Kẹt cả nhà,Critical,
Xin cứu gấp,Critical,
Nhà chìm nước,Critical,
Kẹt lũ cứu gấp,Critical,
Lũ bao vây rồi,High,
Nguy hiểm quá,Critical,
Kẹt lũ cứu gấp,Critical,
Nguy hiểm quá,Critical,
Nước lên nhanh,High,
Nhà chìm nước,Critical,
Lũ bao vây rồi,High,
Nước vào nhà,Medium,
Có trẻ nhỏ cứu,High,
Ngập tới gối rồi,Medium,
Lũ mạnh quá,Medium,
Cứu với lũ lớn,High,
Không liên lạc được,Low,
Xin cứu gấp,Critical,
Cứu với lũ lớn,High,
Nhà chìm nước,High,
Nguy hiểm quá,Critical,
Không thoát được,Critical,
Lũ mạnh quá,High,
Kẹt lũ cứu gấp,Critical,
Không liên lạc được,Low,
Ngập sâu cứu hộ,Medium,
Kẹt cả nhà,Critical,
Cứu với lũ lớn,High,
Nguy hiểm quá,Critical,
Không thoát được,Critical,
Có trẻ nhỏ cứu,High,
Kẹt lũ cứu gấp,Critical,
Xin cứu gấp,High,
Nước vào nhà,Medium,
Không thoát được,High,
Nhà chìm nước,High,
Không thoát được,High,
Không liên lạc được,Low,
Kẹt cả nhà,High,
Có người già kẹt,High,
Không liên lạc được,Low,
Có trẻ nhỏ cứu,High,
Nước vào nhà,Medium,
Có trẻ nhỏ cứu,High,
Xin cứu gấp,High,
Xin cứu gấp,High,
Ngập sâu cứu hộ,Medium,
Cứu với lũ lớn,High,
Cứu với lũ lớn,High,
Điện cắt rồi,Medium,
Kẹt trong nhà,High,
Lũ mạnh quá,High,
Không liên lạc được,Low,
Nước dâng nhanh quá,Medium,
Nước vào nhà,Medium,
Nguy hiểm quá,High,
Nhà chìm nước,Medium,
Có trẻ nhỏ cứu,High,
Nước vào nhà,Medium,
Có người già kẹt,High,
Nhà chìm nước,Medium,
Lũ bao vây rồi,Medium,
Nhà chìm nước,Medium,
Nước vào nhà,Medium,
Ngập sâu cứu hộ,Medium,
Kẹt cả nhà,High,
Không thoát được,High,
Có người già kẹt,High,
Có người già kẹt,High,
Ngập tới gối rồi,Medium,
Kẹt lũ cứu gấp,High,
Ngập tới gối rồi,Medium,
Có người già kẹt,High,
Lũ mạnh quá,Medium,
Lũ mạnh quá,Medium,
Điện cắt rồi,Medium,
Không liên lạc được,Low,
Nhà chìm nước,Medium,
Cứu với lũ lớn,Medium,
Có trẻ nhỏ cứu,High,
Lũ mạnh quá,Medium,
Nước lên nhanh,Medium,
Điện cắt rồi,Medium,
Nước vào nhà,Medium,
Nước vào nhà,Medium,
Kẹt trong nhà,High,
Kẹt lũ cứu gấp,High,
Nước lên nhanh,Medium,
Điện cắt rồi,Medium,
Có trẻ nhỏ cứu,High,
Kẹt cả nhà,High,
Xin cứu gấp,High,
Kẹt trong nhà,High,
Xin cứu gấp,High,
Nước lên nhanh,Medium,
Nước vào nhà,Medium,
Nhà ngập rồi cứu,Medium,
Nhà chìm nước,Medium,
Lũ bao vây rồi,Medium,
Kẹt trong nhà,Medium,
Nước vào nhà,Medium,
Kẹt cả nhà,High,
Kẹt cả nhà,High,
Lũ bao vây rồi,Medium,
Nhà ngập rồi cứu,Medium,
Kẹt cả nhà,High,
Lũ bao vây rồi,Medium,
Lũ mạnh quá,Medium,
Nguy hiểm quá,High,
Có người già kẹt,High,
Ngập tới gối rồi,Medium,
Nhà ngập rồi cứu,Medium,
Có người già kẹt,Medium,
Nước vào nhà,Medium,
Không liên lạc được,Low,
Nhà chìm nước,Medium,
Nước lên nhanh,Medium,
